iter	RMSE
0	18.1960097
1	18.02933334
2	17.8948468
3	17.77634134
4	17.66576583
5	17.56138901
6	17.46695378
7	17.36737506
8	17.26897358
9	17.17788867
10	17.08500137
11	17.00567249
12	16.91261828
13	16.84174936
14	16.7728522
15	16.7047835
16	16.65027687
17	16.58596841
18	16.53791412
19	16.49612222
20	16.44963661
21	16.39496516
22	16.34226178
23	16.29312624
24	16.25643226
25	16.20994261
26	16.16265879
27	16.11769977
28	16.08383343
29	16.04959848
30	16.02223487
31	15.99303683
32	15.96665683
33	15.9092167
34	15.87517979
35	15.83897284
36	15.81031456
37	15.78143463
38	15.75366841
39	15.72867349
40	15.69061125
41	15.65654131
42	15.62139686
43	15.59414175
44	15.56137287
45	15.52126183
46	15.495967
47	15.46967042
48	15.44790478
49	15.41619413
50	15.39783346
51	15.37808929
52	15.346611
53	15.32832511
54	15.29937319
55	15.27327319
56	15.24317602
57	15.21959811
58	15.19742787
59	15.17184198
60	15.14249091
61	15.12763739
62	15.10295301
63	15.07374293
64	15.06003318
65	15.02974564
66	15.00343969
67	14.98984828
68	14.97344275
69	14.95712459
70	14.93096692
71	14.89444413
72	14.87416923
73	14.85552867
74	14.83696756
75	14.818161
76	14.803051
77	14.78970058
78	14.77122887
79	14.75397714
80	14.736559
81	14.72396738
82	14.7004382
83	14.68523938
84	14.67314405
85	14.64634484
86	14.63637486
87	14.61640412
88	14.59775512
89	14.57801595
90	14.55483306
91	14.54938992
92	14.53039278
93	14.5085607
94	14.498807
95	14.48588632
96	14.47213858
97	14.46147524
98	14.43272314
99	14.42026132
100	14.40001043
101	14.38494773
102	14.37544573
103	14.36671261
104	14.34302656
105	14.32327927
106	14.31004704
107	14.28672036
108	14.27265354
109	14.26014386
110	14.24464757
111	14.2229522
112	14.19767317
113	14.18554565
114	14.16513753
115	14.1573785
116	14.13904857
117	14.12443497
118	14.10374688
119	14.08494122
120	14.0618413
121	14.0474845
122	14.02462234
123	14.01508537
124	13.99921441
125	13.98936324
126	13.97788243
127	13.96980354
128	13.96283806
129	13.95268853
130	13.94109876
131	13.92437192
132	13.91324446
133	13.90486848
134	13.89644675
135	13.8779145
136	13.86677872
137	13.85289882
138	13.84362306
139	13.8352128
140	13.82382428
141	13.811343
142	13.79928973
143	13.7892179
144	13.78303067
145	13.77493125
146	13.76228116
147	13.75232019
148	13.74165109
149	13.72864062
150	13.71397185
151	13.70116996
152	13.68620421
153	13.68028761
154	13.6711532
155	13.65977714
156	13.64225804
157	13.62952022
158	13.61622856
159	13.60434388
160	13.59489598
161	13.58766721
162	13.57607216
163	13.56668253
164	13.5545545
165	13.54428518
166	13.53177355
167	13.52525262
